family,sci_name,hosts,location,sample_type,host_feeding,host_habitat,virus_host_count,infected_host_sample_size,actual_host_sample_size,read_count,read_prop,RPM
Tobaniviridae,Breda virus,Goat,Ondo,Swab,Herbivores,peri-domesticated,2,43,46,128738,0.002186355,2186.354659
Tobaniviridae,Goat torovirus,Goat,Ondo,Swab,Herbivores,peri-domesticated,3,43,46,461690,0.008790204,8790.204278
Tobaniviridae,Guangxi torovirus,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,53,8.98E-07,0.897852567
Tobaniviridae,Porcine torovirus,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,23783,0.000402899,402.898634
Tobaniviridae,Torovirus sp.,Goat,Ondo,Swab,Herbivores,peri-domesticated,2,43,46,139221,0.002362196,2362.19609
Tombusviridae,Trailing lespedeza virus 1,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,7,2.83E-07,0.282565514
Totiviridae,Malassezia restricta virus MrV40L,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,4,1.11E-07,0.111180834
Totiviridae,Uromyces potyvirus A,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,4,1.86E-07,0.185504992
Unclassifed,Drosophila A virus,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,20,1.30E-06,1.304776474
Unclassifed,Erysiphe necator associated virus 1,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,9,6.07E-07,0.607
Unclassifed,Ousland virus,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,297,1.39E-05,13.9
Circoviridae,Circoviridae sp.,Lizard,Ebonyi ,Oral,Insctivores,peri-domesticated,1,3,3,10,8.60E-07,0.86
Genomoviridae,Genomoviridae sp.,Lizard,Ebonyi ,Oral,Insctivores,peri-domesticated,6,3,3,4,3.26E-07,0.325824809
Picobirnaviridae,Picobirnavirus sp.,Lizard,Ebonyi ,Oral,Insctivores,peri-domesticated,8,3,3,5,4.07E-07,0.407281012
